company,years,total_laid_off,Ranking
Uber,2020,15050,1
Booking.com,2020,8750,2
Groupon,2020,5600,3
Swiggy,2020,4500,4
Airbnb,2020,3800,5
Bytedance,2021,7200,1
Katerra,2021,4868,2
Zillow,2021,4000,3
Instacart,2021,3754,4
WhiteHat Jr,2021,3600,5
Meta,2022,22000,1
Amazon,2022,20300,2
Cisco,2022,8200,3
Peloton,2022,8168,4
Carvana,2022,8000,5
Philips,2022,8000,5
Google,2023,24000,1
Microsoft,2023,20000,2
Ericsson,2023,17000,3
Amazon,2023,16000,4
Salesforce,2023,16000,4
Dell,2023,13300,5
